bstn,hostname,role,ip,root_ip,serialNumber,platform,model
MH-MUM-S08,MH-MUM-S08-C3-ST-CCE-E12T-S01,CCE,100.71.15.73,100.71.15.73,EC2408000349,EdgeCOS,ECS4100-12T
MH-MUM-J77,MH-MUM-J77-C3-ST-CCE-C45X-S01,CCE,100.71.23.135,null,JAE195100R5,XE,cat4500X16
MH-NGP-M66,MH-NGP-M66-C3-ST-CCE-E12T-S01,CCE,100.71.68.116,100.71.68.116,EC2424004760,EdgeCOS,ECS4100-12T
UP-LUC-H84,UP-LUC-H84-C3-ST-CCE-E12T-S01,CCE,100.72.205.78,100.72.205.78,EC2424004939,EdgeCOS,ECS4100-12T
JH-RGM-G34,JH-RGM-G34-C3-ST-CCE-E12T-S01,CCE,100.72.52.210,100.72.52.210,EC2418001937,EdgeCOS,ECS4100-12T
DL-DEL-JI5,DL-DEL-JI5-C3-ST-CCE-U572-S01,CCE,100.73.16.16,100.73.16.16,21980109184EM3000045,VRP,s5735-L12T4S-A
DL-DEL-C14,DL-DEL-C14-C3-ST-CCE-E12T-S01,CCE,100.73.16.17,100.73.16.17,EC2337001235,EdgeCOS,ECS4100-12T
DL-DEL-F36,DL-DEL-F36-C3-ST-CCE-E12T-S01,CCE,100.73.16.19,100.73.16.19,EC2322002424,EdgeCOS,ECS4100-12T
DL-DEL-QY2,DL-DEL-QY2-C3-ST-CCE-E12T-S01,CCE,100.73.16.20,100.73.16.20,EC2322002394,EdgeCOS,ECS4100-12T
DL-DEL-O30,DL-DEL-O30-C3-ST-CCE-E12T-S01,CCE,100.73.16.5,100.73.16.5,EC2322002407,EdgeCOS,ECS4100-12T
DL-DEL-V55,DL-DEL-V55-C3-ST-CCE-US57-S01,CCE,100.73.16.2,100.73.16.2,21980105673GHC002408,VRP,s5720-12TP-LI-AC
DL-DEL-V60,DL-DEL-V60-C3-ST-CCE-US57-S01,CCE,100.73.16.3,100.73.16.3,21980105673GJ1000092,VRP,s5720-12TP-LI-AC
DL-DEL-Q73,DL-DEL-Q73-C3-ST-CCE-U572-S01,CCE,100.73.16.7,100.73.16.7,21980105673GJ9001608,VRP,s5720-12TP-LI-AC
DL-DEL-EF9,DL-DEL-EF9-C3-ST-CCE-U572-S01,CCE,100.73.16.70,100.73.16.70,21980105673GJ4001842,VRP,s5720-12TP-LI-AC
