x_sitl_telco_sify_u_lms_id,x_sitl_telco_sify_u_aconnectinginterface,x_sitl_telco_sify_u_zconnectinginterface,x_sitl_telco_sify_u_a_device,x_sitl_telco_sify_u_z_device,x_sitl_telco_sify_u_link_status,u_provider_circuit_id,x_sitl_telco_sify_u_circuit_id,x_sitl_telco_sify_u_bandwidth,u_bandwidth_units,sys_class_name,x_sitl_telco_sify_u_vendor_name,u_a_pop,u_z_pop,x_sitl_telco_sify_u_total_distance,x_sitl_telco_sify_u_link_description
22939,GigabitEthernet0/0/26,GigabitEthernet0/0/26,100.64.75.164,100.65.241.36,Active,22939,22939,,,Sify_DataLinks_Fiber,GPS ENTERPRISES,MH-NAS-TJA,MH-NAS-SAX,11.5,
22474,,,,,Active,22474,22474,,,Sify_DataLinks_Fiber,SAITECH TELECOM PRIVATE LIMITED,,,7.468,
22537,,,,,Active,22537,22537,,,Sify_DataLinks_Fiber,SAJ NETWORK,,,3,
22674,,,,,Active,22674,22674,,,Sify_DataLinks_Fiber,MICROSCAN INFOCOMMTECH PVT LTD,,,115,
23423,,,,,Active,23423,23423,,,Sify_DataLinks_Fiber,MAHARASHTRA TRANSMISSION COMMUNICATION INFRASTRUCTURE LIMITED,,,8.496,
20083,,,,,Active,20083-LMS,20083-LMS,,,Sify_DataLinks_Fiber,MICROSCAN INFOCOMMTECH PVT LTD,,,28.5,
21402,,,,,Active,21402,21402,10,Gbps,Sify_DataLinks_Fiber,MAHARASHTRA TRANSMISSION COMMUNICATION INFRASTRUCTURE LIMITED,,,8.31,
22014,,,,,Active,22014,22014,,,Sify_DataLinks_Fiber,EXCEL TELESONIC INDIA PVT LTD,,,16.5,
25770,ethernet1/26,,100.71.136.167,,Active,OPTL2408200005,OPTL2408200005,,,Sify_DataLinks_Fiber,OPTIMAL TELEMEDIA PVT LTD,GJ-VDR-KIQ,,5,
24429,,,,,Active,24429,24429,,,Sify_DataLinks_Fiber,ICC BROADBAND SOLUTIONS,,,8,
25003,,,,,Active,25003,25003,,,Sify_DataLinks_Fiber,MAHARASHTRA TRANSMISSION COMMUNICATION INFRASTRUCTURE LIMITED,,,940.447,
25005,,,,,Active,25005,25005,,,Sify_DataLinks_Fiber,MAHARASHTRA TRANSMISSION COMMUNICATION INFRASTRUCTURE LIMITED,,,936.654,
25007,,,,,Active,25007,25007,,,Sify_DataLinks_Fiber,MAHARASHTRA TRANSMISSION COMMUNICATION INFRASTRUCTURE LIMITED,,,753.613,
25129,XGigabitEthernet0/0/2,,100.70.143.107,,Active,Bhopal-Maple High Street-Anchor,Bhopal-Maple High Street-Anchor,,,Sify_DataLinks_Fiber,ANCHOR COMMUNICATION,MP-BPL-M1S,,8.419,
8957,GigabitEthernet1/3,GigabitEthernet1/3,100.66.40.30,100.66.40.30,Active,,,,,Sify_DataLinks_Fiber,TOJO INFRATEL,MH-MUM-DFB,MH-MUM-D22,1.8,
9721,,,,,Active,,,,,Sify_DataLinks_Fiber,ICC BROADBAND SOLUTIONS,,,2.567,
14932,TenGigE0/1/0/2,TenGigE0/0/2/1,1.7.0.130,1.7.0.193,Active,,,,,Sify_DataLinks_Fiber,DINESH ENGINEERS LTD,MH-MUM-ENT,MH-MUM-RAL,16.045,
14977,,,,,Active,,,,,Sify_DataLinks_Fiber,INTECH INFRATEL PVT LTD,,,8.5,
15149,GigabitEthernet0/0/25,GigabitEthernet0/0/27,210.214.43.43,100.65.147.108,Active,15149,15149,,,Sify_DataLinks_Fiber,SUNIL COMMUNICATIONS AND ENTERPRISES,MH-CHN-CAK,MH-PUN-TTE,16,
11185,ethernet1/24,ethernet1/24,100.72.97.210,100.72.97.210,Active,,,,,Sify_DataLinks_Fiber,PCM ALLOYS STEELS PVT LTD,WB-SIL-SIL,WB-SIL-SIL,5.96828,
14563,GigabitEthernet0/0/26,GigabitEthernet0/0/26,100.65.62.70,100.67.8.94,Active,,,,,Sify_DataLinks_Fiber,ANCHOR COMMUNICATION,CG-RPR-TNK,CG-RPR-WIR,5,
10185,GigabitEthernet0/0/26,GigabitEthernet0/0/26,210.214.43.43,100.64.31.84,Active,,,,,Sify_DataLinks_Fiber,SUNIL CABLE NETWORK,MH-CHN-CAK,MH-CHN-CKZ,5.5,
23387,,,,,Active,NA,NA,,,Sify_DataLinks_Fiber,VD COMMUNICATION SERVICE,,,9,
23391,,,,,Active,OPTL2211292256,OPTL2211292256,,,Sify_DataLinks_Fiber,OPTIMAL TELEMEDIA PVT LTD,,,6.36955,
20099,TwentyFiveGigE1/0/5,GigabitEthernet0/0/25,100.71.89.10,100.64.129.58,Active,20099,20099,1,Gbps,Sify_DataLinks_Fiber,ORANGE INFOCOM PVT LTD,MH-NGP-PLC,MH-SOP-PJA,14,
21400,,,,,Active,21400,21400,10,Gbps,Sify_DataLinks_Fiber,MAHARASHTRA TRANSMISSION COMMUNICATION INFRASTRUCTURE LIMITED,,,8.31,
21857,,,,,Active,21857,21857,,,Sify_DataLinks_Fiber,EXCEL TELESONIC INDIA PVT LTD,,,1.395,
22030,,,,,Active,22030,22030,,,Sify_DataLinks_Fiber,EXCEL TELESONIC INDIA PVT LTD,,,23,
25091,TenGigabitEthernet1/1,TenGigabitEthernet1/1/5,100.71.153.66,100.71.112.98,Active,Indore-Airport-Kalp,Indore-Airport-Kalp,,,Sify_DataLinks_Fiber,KALPDRUM CABLENET PRIVATE LIMITED,MP-IND-ARH,MP-IND-IND,14.648,
25104,TenGigabitEthernet1/2,,100.71.153.6,100.71.112.98,Active,Indore-Samajwadi -MRP,Indore-Samajwadi -MRP,,,Sify_DataLinks_Fiber,MRP CABLE NET SOLUTION,MP-IND-SJI,MP-IND-IND,10.594,
24509,TwentyFiveGigE1/0/1,,100.71.67.20,,Active,24509,24509,,,Sify_DataLinks_Fiber,UCN CABLE NETWORK PVT LTD,MH-NGP-WIV,,11,
24583,,,,,Active,24583,24583,,,Sify_DataLinks_Fiber,HINDAVI TELECOM PVT LTD,,,9.85,
24612,TwentyFiveGigE0/0/0/28,TenGigE0/0/0/0,100.71.13.233,100.71.13.233,Active,24612,24612,,,Sify_DataLinks_Fiber,DINESH ENGINEERS LTD,MH-TAN-COS,MH-TAN-COS,14.46,
24878,,,,,Active,24878,24878,,,Sify_DataLinks_Fiber,SAITECH TELECOM PRIVATE LIMITED,,,4.9,
25041,,,,,Active,25041,25041,,,Sify_DataLinks_Fiber,EXCEL TELESONIC INDIA PVT LTD,,,0.85,
25093,TenGigabitEthernet1/2,TenGigabitEthernet1/1,100.71.153.67,100.71.153.68,Active,Marimata -Nandbagh -Kalp,Marimata -Nandbagh -Kalp,,,Sify_DataLinks_Fiber,KALPDRUM CABLENET PRIVATE LIMITED,MP-IND-NCG,MP-IND-MQU,4.622,
25307,TenGigE0/0/0/0,,100.71.13.98,,Active,25307,25307,,,Sify_DataLinks_Fiber,DINESH ENGINEERS LTD,MH-MUM-GIP,,3.5,
25435,,,,,Active,Khargone-Idea Aggr-MRP,Khargone-Idea Aggr-MRP,,,Sify_DataLinks_Fiber,MRP CABLE NET SOLUTION,,,3,
23358,,,,,Active,23358,23358,,,Sify_DataLinks_Fiber,REVMAX TELECOM INFRASTRUCTURES PVT LTD,,,9.75,
23359,,,,,Active,23359,23359,,,Sify_DataLinks_Fiber,REVMAX TELECOM INFRASTRUCTURES PVT LTD,,,22.1,
23727,,,,,Active,23727,23727,,,Sify_DataLinks_Fiber,DINESH ENGINEERS LTD,,,3.831,
8997,TenGigE0/0/0/16,,100.71.75.36,,Active,,,,,Sify_DataLinks_Fiber,TIRUPATI GLOBAL INFOSYS,MH-MUM-KKH,MH-MUM-KKH,4.8,
21706,TwentyFiveGigE1/0/3,,100.71.67.3,,Active,21706,21706,,,Sify_DataLinks_Fiber,PURVI INFOCOM PVT LTD,MH-NGP-GIB,,5,
21807,GigabitEthernet0/0/25,,100.70.122.101,,Active,Raipur Tank Tower  to Kotwali-ATC Colo,Raipur Tank Tower  to Kotwali-ATC Colo,,,Sify_DataLinks_Fiber,ANCHOR COMMUNICATION,CG-RPR-WKO,,4,
21894,,,,,Active,21894,21894,,Gbps,Sify_DataLinks_Fiber,REVMAX TELECOM INFRASTRUCTURES PVT LTD,,,67,
22031,,,,,Active,22031,22031,,,Sify_DataLinks_Fiber,EXCEL TELESONIC INDIA PVT LTD,,,22.5,
12762,,,,,Active,,,,,Sify_DataLinks_Fiber,EQUINIX INDIA PRIVATE LIMITED,,,10.267,
11131,FastEthernet0/5,,210.18.58.183,,Active,,,,,Sify_DataLinks_Fiber,R K FIBERGRID INDIA PRIVATE LIMITED,GJ-ANK-ANK,GJ-ANK-ALK,2.7,Ankleshwar-Ankleshwar-Viom colo-Eos-90-Mb-90-RK infratel-11131
12199,GigabitEthernet0/0/13,GigabitEthernet0/0/28,100.65.222.234,210.18.50.67,Active,5999548,5999548,,,Sify_DataLinks_Fiber,ANCHOR COMMUNICATION,MP-BPL-BPL,MP-BPL-VSB,3.002,
15809,TenGigE0/0/0/0,TenGigE0/0/0/1,100.71.76.23,100.71.76.18,Active,15809,15809,,,Sify_DataLinks_Fiber,EXCEL TELESONIC INDIA PVT LTD,MH-MUM-MXM,MH-MUM-UIR,0.42,
20085,,,,,Active,20085-LMS,20085-LMS,,,Sify_DataLinks_Fiber,MICROSCAN INFOCOMMTECH PVT LTD,,,5.313,
